text,label
"the dog warned me to stay away",defensive
"the dog barked after I startled it",defensive
"the dog kept distance and growled softly",defensive
"the dog looked afraid and defensive",defensive
"the dog shielded its injured paw",defensive
"the dog snapped when cornered",defensive
"the dog moved between me and the child",defensive
"the dog protected the yard entrance",defensive
"the dog barked because I came too close",defensive
"the dog stayed low and showed anxiety",defensive
"the dog growled while backing away",defensive
"the dog defended its resting place",defensive
"a friendly dog barked once then wagged its tail",friendly
"the dog barked but stayed relaxed on its leash",calm
"the dog ran toward me and then dropped a ball",playful
"the dog growled softly while hiding behind the sofa",defensive
"the dog barked loudly but the owner held the leash",threatening
"the dog sniffed me and walked away",neutral
"a puppy nipped playfully at my sleeve",playful
"the dog stared stiffly from a dark doorway",threatening
"the dog accepted petting after a slow approach",friendly
"the dog barked when surprised and then calmed down",defensive
"the dog rushed toward the fence with heavy barking",threatening
"the dog sat quietly while people walked past",calm
"the dog pulled toward me with exposed teeth",aggressive
"the dog circled my bike and barked",threatening
"the dog watched me from the porch",neutral
"the dog leaned gently against my leg",friendly
"the dog guarded its bowl and warned me away",defensive
"the dog chased the toy instead of me",playful
"the dog stayed relaxed while I passed",calm
"the dog ignored the crowd completely",neutral
A dog play with me,playful
a dog run through my direction today and go away,aggressive
today many street dogs played with me,playful
